Date,Open,High,Low,Close,Volume,SP500,ADS_Index,Returns,Mkt-RF,SMB,HML,RF,Average_OC,Average_all,O-C,H-L,open_tmr,close_tmr,logVol
2017-11-07,1044.52,1053.41,1043.0,1052.85,7288,2590.64,0.498809932096108,-0.006986257344060616,-0.2,-1.36,-0.37,0.004,1048.685,1048.445,-8.329999999999927,10.410000000000082,1052.25,1058.29,8.893984438939794
2017-11-08,1052.25,1062.7,1047.04,1058.29,7041,2594.38,0.487787278590489,0.00926940885507103,0.12,0.06,-0.62,0.004,1055.27,1055.07,-6.039999999999964,15.660000000000082,1053.36,1047.82,8.859505484519133
2017-11-09,1053.36,1053.36,1035.85,1047.82,11342,2584.62,0.47706324490938,0.005590652506626231,-0.41,-0.02,0.22,0.004,1050.59,1047.5974999999999,5.539999999999964,17.50999999999999,1045.0,1043.99,9.336267928573973
2017-11-10,1045.0,1046.63,1041.22,1043.99,5484,2582.3,0.46663643654234,-0.01003808785886464,0.01,0.05,-0.38,0.004,1044.495,1044.21,1.009999999999991,5.410000000000082,1042.96,1039.69,8.609590040682205
2017-11-13,1042.96,1048.74,1039.26,1039.69,4654,2584.84,0.436836058218647,-0.0034131666635770284,0.09,-0.3,0.02,0.004,1041.325,1042.6625,3.269999999999982,9.480000000000018,1040.75,1041.64,8.445482343862237
2017-11-14,1040.75,1047.0,1029.33,1041.64,5230,2578.87,0.426589298073494,-0.002829333208662268,-0.22,-0.13,0.0,0.004,1041.1950000000002,1039.68,-0.8900000000001,17.670000000000073,1034.0,1037.9,8.56216655705897
2017-11-15,1034.0,1039.63,1030.76,1037.9,5097,2564.62,0.415927497899192,0.0004225615157492612,-0.52,-0.05,0.24,0.004,1035.95,1035.5725,-3.900000000000091,8.870000000000118,1043.25,1047.97,8.536407410340042
2017-11-16,1043.25,1051.76,1038.0,1047.97,5733,2585.64,0.404849271277897,-0.005033557343866825,1.01,0.85,-0.52,0.004,1045.6100000000001,1045.2450000000001,-4.720000000000027,13.759999999999991,1050.2,1034.21,8.653994232908383
2017-11-17,1050.2,1051.0,1033.73,1034.21,7612,2578.85,0.393353177641336,0.011569079738784667,-0.14,0.74,0.29,0.004,1042.205,1042.2849999999999,15.990000000000009,17.269999999999982,1035.65,1034.66,8.93748122841604
2017-11-20,1035.65,1038.7,1032.67,1034.66,4639,2582.14,0.356758235931049,-0.012070955913681307,0.21,0.56,0.0,0.004,1035.1550000000002,1035.42,0.9900000000000091,6.029999999999973,1038.82,1049.25,8.442254104751743
2017-11-21,1038.82,1050.53,1038.75,1049.25,5605,2599.03,0.344208292426471,-0.0011880718800030682,0.67,0.41,-0.35,0.004,1044.0349999999999,1044.3374999999999,-10.430000000000064,11.779999999999973,1052.3,1051.92,8.63141433550626
